model,ACC,AUC_OVO,G_Mean,CE,total_time_s,dataset,regime
CatBoost_TD,1.0,1.0,1.0,0.003078,1.93,nursery,large
AutoGluon_Default,0.999486,0.997881,0.00398,0.002354,44.98,nursery,large
AutoGluon_Extreme,1.0,1.0,1.0,0.001107,3598.21,nursery,large
LightGBM_Tuned,0.998457,0.999961,0.999061,0.003419,104.01,nursery,large
XGBoost_Tuned,0.999743,0.968367,0.003981,0.005729,131.27,nursery,large
CatBoost_Tuned,0.999743,0.956555,0.003981,0.018442,182.91,nursery,large
TabICL,0.99,0.999981,0.989909,0.026572,5.35,letter,large
LightGBM_TD,0.9645,0.999643,0.964115,0.116358,1.89,letter,large
XGBoost_TD,0.959167,0.999565,0.958776,0.128917,1.43,letter,large
CatBoost_TD,0.965167,0.999748,0.964699,0.116353,5.16,letter,large
AutoGluon_Default,0.980333,0.999882,0.980102,0.108759,1656.71,letter,large
AutoGluon_Extreme,0.982667,0.99993,0.982386,0.051858,3745.28,letter,large
LightGBM_Tuned,0.97,0.999739,0.969599,0.114945,734.25,letter,large
